编号,原始案号,预备,未遂,中止,较大,巨大,特别巨大,凶器,多次,流窜,扒窃,入户,系自首,立功,系坦白,如实供述,自愿认罪,认罪认罚,累犯,前科,未成年,老年人,残疾,精神病,谅解,和解,赔偿,黑恶势力,灾害,性别,学历,就业状况,法官性别,法官原始刑期,预测刑期1,预测刑期2,刑期差值1,刑期差值2,刑期差值3,slope_judge,slope_machine1,法官姓名编码
92,74069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,6,6.78,6.98,0.78,0.98,-0.2,0.217343809589593,0.156608957209799,
93,295424,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,6,9.69,9.5,3.69,3.5,0.19,0.476378564214952,-0.278238341931149,4286.0
94,71843,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,8,1,0,18,18.5,18.62,0.5,0.62,-0.12,-0.562071345031529,-0.535771637174028,12306.0
95,80537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,6,69.97,61.79,63.97,55.79,8.18,-0.0228274069277556,0.0303701548830105,9944.0
96,288608,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,10,6.19,6.51,3.81,3.49,-0.32,-0.0297064269401529,-0.430607691515637,10625.0
97,81757,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,8,55.53,50.54,47.53,42.54,5.0,0.354240484681288,-0.134053535468782,6406.0
98,221205,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,8,9.59,9.62,1.59,1.62,-0.03,-0.369447404757401,-0.520998574662691,16171.0
99,114020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,34,26.91,27.84,7.09,6.16,-0.94,-0.126918673788688,-0.20416989971923,4132.0
100,207544,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,5,5.35,5.21,0.35,0.21,0.13,-0.111699886220468,-0.0913584259233746,99.0
101,139283,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,6,0,0,7,8.71,7.52,1.71,0.52,1.2,-0.111567783259885,-0.0543246692428209,803.0
102,165378,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,8,1,0,8,8.32,8.82,0.32,0.82,-0.5,0.0360209582082008,-0.0006362986420976,14800.0
