编号,原始案号,预备,未遂,中止,较大,巨大,特别巨大,凶器,多次,流窜,扒窃,入户,系自首,立功,系坦白,如实供述,自愿认罪,认罪认罚,累犯,前科,未成年,老年人,残疾,精神病,谅解,和解,赔偿,黑恶势力,灾害,性别,学历,就业状况,法官性别,法官原始刑期,预测刑期1,预测刑期2,刑期差值1,刑期差值2,刑期差值3,slope_judge,slope_machine1,法官姓名编码
68188,135508,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,12,9.03,8.44,2.97,3.56,0.59,-0.156333839606145,-0.193873569301768,5975.0
68189,252788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,6,6.31,6.83,0.31,0.83,-0.53,-0.52192102103762,-0.461383606684449,
68190,34001,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,2,1,0,8,13.84,13.65,5.84,5.65,0.19,-0.0926529169165724,-0.777926156434578,1301.0
68191,255259,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,30,17.33,21.0,12.67,9.0,-3.67,0.12871830675407,0.35990973288264,10213.0
68192,197005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,6,7.15,7.35,1.15,1.35,-0.19,0.217343809589593,0.133237194796795,14482.0
68193,93178,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,7,5.78,5.86,1.22,1.14,-0.08,0.0211003791857755,-0.0676299433098639,7028.0
68194,231840,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,6,5.92,6.29,0.08,0.29,-0.37,-0.312378852551448,-0.31708094343315,
68195,133595,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,16,10.48,10.76,5.52,5.24,-0.27,-0.0464162191817563,-0.107405975831883,3991.0
68196,100817,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,7,5.54,5.44,1.46,1.56,0.1,0.092577657321801,-0.0418540708909124,8188.0
68197,151355,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,6,9.28,8.75,3.28,2.75,0.54,0.236246469931249,0.362345341137821,8421.0
68198,46052,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,0,0,2,4.89,4.92,2.89,2.92,-0.03,-0.460110566839767,-0.427387257123561,10738.0
68199,307178,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,48,25.81,24.41,22.19,23.59,1.4,0.112046603685883,0.115343731940282,14643.0
68200,150997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,4,9.08,9.01,5.08,5.01,0.06,0.543466443733946,-0.47453170102706,76.0
68201,22108,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,36,28.71,31.59,7.29,4.41,-2.88,-0.212312110708013,0.06787079498003,16642.0
68202,256748,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,8,1,0,4,5.02,4.58,1.02,0.58,0.43,-0.775468958135434,-0.680103704253611,9807.0
68203,236247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,6.98,6.95,5.98,5.95,0.03,-0.285519861880814,-0.245547099395219,6925.0
68204,156691,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,8,16.05,15.41,8.05,7.41,0.64,-0.396016900601921,-0.529368849936224,16540.0
68205,175130,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,1,0,12,16.56,15.56,4.56,3.56,0.99,-0.775111143150794,-0.649462973919418,11512.0
68206,103844,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,2,7,6.07,5.86,0.93,1.14,0.21,-0.267176247368392,-0.387466220768077,8156.0
68207,210535,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,48,32.99,33.54,15.01,14.46,-0.56,-0.15421913530987,-0.0149456895586184,11444.0
68208,240554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,10,9.16,9.27,0.84,0.73,-0.11,-0.70800190138112,-0.571143579479367,2273.0
68209,147639,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1,21,13.31,13.69,7.69,7.31,-0.38,-0.160524184856554,-0.185388466984347,8151.0
68210,47879,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,1,0,7,6.57,6.31,0.43,0.69,0.26,0.0547097568289655,0.0025934430231934,10589.0
68211,26086,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,4,1,1,18,12.07,11.78,5.93,6.22,0.29,-0.53951701465621,-0.650735643708573,17178.0
68212,279927,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,5,5.79,6.2,0.79,1.2,-0.41,-0.254309697809888,-0.209750066749554,6261.0
68213,197018,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,2,0,1,9,11.24,11.38,2.24,2.38,-0.14,-0.41917975819095,-0.461582775419793,2108.0
68214,275837,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,2,0,0,8,9.12,8.99,1.12,0.99,0.12,-0.251451212357072,-0.348748769011845,12944.0
68215,159689,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6,9.08,9.19,3.08,3.19,-0.11,0.144611944818644,-0.200832817881263,
68216,20064,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,2,1,1,8,9.22,9.26,1.22,1.26,-0.04,-0.0249538525797174,0.0118931300475716,7311.0
68217,48292,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,2,5,4.72,4.35,0.28,0.65,0.37,-0.682355773977482,-0.700316124134,8610.0
68218,160740,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,1,0,12,10.61,10.67,1.39,1.33,-0.06,-0.832546290289407,-0.730953315934977,9778.0
68219,187229,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,6,4.81,5.43,1.19,0.57,-0.62,-0.743125909005542,-0.812271159752104,2733.0
68220,152427,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,2,1,0,15,12.29,11.96,2.71,3.04,0.33,-0.714172376090148,-0.756380979323608,13752.0
68221,24062,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,4,1,0,7,9.04,8.99,2.04,1.99,0.05,-0.0345323692893678,-0.436148988529225,3289.0
68222,19571,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,7.92,7.8,3.92,3.8,0.12,-0.261460408435721,-0.0621607047571039,3360.0
68223,14353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,1,8,9.84,9.56,1.84,1.56,0.27,-0.339670980835202,-0.515329833761328,7334.0
68224,306273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,5,5.86,4.71,0.86,0.29,1.15,-0.173801643586103,-0.112522696011958,13480.0
68225,207724,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,2,1,0,2,4.42,4.15,2.42,2.15,0.27,-0.764610042106477,-0.800130509789263,
68226,190685,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,10,7.95,6.98,2.05,3.02,0.96,-0.0298639900523573,0.0037370227698658,8861.0
68227,132187,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,21,9.48,8.92,11.52,12.08,0.56,-0.116266357212943,-0.166693317784894,11599.0
68228,158982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,12,5.65,5.23,6.35,6.77,0.43,0.0758913384922728,-0.256712534226564,16925.0
68229,246107,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7,9.08,9.58,2.08,2.58,-0.5,-0.158922531165636,0.136376656151603,13109.0
68230,75329,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,12,8.89,9.28,3.11,2.72,-0.39,-0.511564406711381,-0.158511208358924,7125.0
68231,205917,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,7,9.17,9.09,2.17,2.09,0.08,-0.307427997618668,-0.580266179639011,2925.0
68232,238289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,7,9.06,9.37,2.06,2.37,-0.31,0.0260030605740364,-0.38317392913515,16046.0
68233,17134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,10,6.68,6.94,3.32,3.06,-0.25,0.0775699265573491,-0.0687682555538839,16945.0
68234,90277,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,1,0,7,9.21,9.5,2.21,2.5,-0.29,0.0876553222226905,0.067590008586987,4977.0
68236,243190,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,5,14.24,14.68,9.24,9.68,-0.44,-0.25490196998081,-0.126136297640823,7991.0
68237,29576,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,9,8.88,8.99,0.12,0.01,-0.11,-0.13566993429237,-0.142423080506545,4093.0
68238,148151,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,42,32.18,29.6,9.82,12.4,2.58,-0.100877739434437,0.0267203693218142,4673.0
68239,48762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,3,5.28,5.61,2.28,2.61,-0.32,-0.205343822680756,-0.151887791862035,6924.0
68240,264619,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,8,1,0,12,5.57,5.91,6.43,6.09,-0.34,-0.0145300832099731,-0.496121612564812,10918.0
68241,100178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,6,4.07,4.23,1.93,1.77,-0.17,-0.103728053413465,-0.203482986111607,3868.0
68242,56240,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,9,12.39,12.09,3.39,3.09,0.31,-0.447653853341908,-0.788800837694299,387.0
68243,15298,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,6,6.18,6.26,0.18,0.26,-0.08,-0.183386367738097,-0.165856565922067,6195.0
68244,153004,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,14,11.66,11.5,2.34,2.5,0.16,-0.166235529390603,-0.185799435923567,8982.0
68245,6325,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,1,18,12.57,13.4,5.43,4.6,-0.82,-0.711463838056744,-0.824782189992835,12991.0
68246,23224,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,6,8.7,9.0,2.7,3.0,-0.3,0.4610008460245,-0.246896318819006,267.0
68247,249300,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,4,5.38,5.16,1.38,1.16,0.22,-0.527487407899816,-0.459152434645987,8520.0
68248,271200,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,1,0,36,26.26,26.83,9.74,9.17,-0.58,-0.122363954442464,-0.245969378085879,149.0
68249,209627,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,12,11.76,12.0,0.24,0.0,-0.24,-0.523896006911326,-0.522931773033213,10812.0
68250,276215,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,5,7.36,7.7,2.36,2.7,-0.35,0.0861033698564546,-0.0440995030184682,1331.0
68251,260278,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,4,6.45,6.59,2.45,2.59,-0.14,-0.449359621502661,-0.388971129888777,5949.0
68252,230451,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,3,5.49,5.45,2.49,2.45,0.04,-0.575324061368535,-0.481703192234196,11147.0
68253,153560,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,1,0,8,12.23,11.97,4.23,3.97,0.26,-0.143417464866562,-0.64209721807879,
68254,294008,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,13,16.94,15.76,3.94,2.76,1.18,-0.752819247295859,-0.658227902382341,7275.0
68255,99456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,5.27,5.59,3.27,3.59,-0.32,-0.521590870115793,-0.473634717666019,
68256,155332,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,6,6.79,6.68,0.79,0.68,0.11,0.421716438732555,0.319531860885867,16982.0
68257,255363,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,2,1,0,60,49.78,44.52,10.22,15.48,5.26,-0.24939073106147,-0.271185073759161,1869.0
68258,279440,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,14,6.1,6.5,7.9,7.5,-0.4,-0.135173379168639,-0.4013642501138,
68259,135204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,2,0,1,4,5.51,5.14,1.51,1.14,0.37,-0.149880683536251,-0.0621407125950651,16208.0
68260,305179,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,5,4.82,4.68,0.18,0.32,0.13,-0.475446569268882,-0.483652553142832,4875.0
68261,23869,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,1,2,5,4.95,4.69,0.05,0.31,0.26,-0.421136512902355,-0.423782659856942,11144.0
68262,34094,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,6,7.01,7.02,1.01,1.02,-0.01,-0.0418952092295771,-0.0968358974715741,12518.0
68263,160560,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,18,14.1,12.77,3.9,5.23,1.33,-0.335720118755625,-0.446633308612179,6188.0
68264,47121,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,4,5.9,6.39,1.9,2.39,-0.48,-0.277365362891772,-0.204022057785676,1042.0
68265,66968,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,16,11.49,12.37,4.51,3.63,-0.88,-0.253627743995229,-0.326871585114818,9040.0
68266,257400,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,6,4.7,3.98,1.3,2.02,0.72,-0.508933067326807,-0.594791992826984,8574.0
68267,295977,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,8,1,0,24,32.93,30.74,8.93,6.74,2.19,0.212431923003783,-0.0133011845036901,14442.0
68268,293795,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,2,1,2,60,17.99,19.1,42.01,40.9,-1.11,0.136124016634066,-0.335444905519398,
68269,266252,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,2,1,1,6,6.72,6.98,0.72,0.98,-0.26,-0.359807994603982,-0.303851803615263,8827.0
68270,62509,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,2,1,0,24,12.19,12.0,11.81,12.0,0.19,-0.0097512264401918,-0.020535972364881,12656.0
68271,243540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,2,0,0,7,10.82,11.22,3.82,4.22,-0.4,-0.163279172858819,-0.325301926956218,
68272,279836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,18,16.66,16.89,1.34,1.11,-0.23,0.151302217068189,0.139052906958516,11234.0
68273,173177,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,8,11.21,11.47,3.21,3.47,-0.26,-0.469949717791576,-0.607368164477111,15704.0
68274,185782,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,5,11.42,12.44,6.42,7.44,-1.02,-0.499441598472276,0.167164496760118,13180.0
68275,210754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,2,1,1,4,5.53,5.75,1.53,1.75,-0.22,-0.32809179243842,-0.213508422416379,16738.0
68276,99055,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,2,0,0,8,13.54,12.29,5.54,4.29,1.25,-0.136689714105813,-0.543053696107628,
68277,109948,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,8,1,1,6,6.16,5.2,0.16,0.8,0.96,-0.217823814399873,-0.197991667952759,4873.0
68278,97237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,12,8.06,7.92,3.94,4.08,0.14,-0.511598712240088,-0.344929316358702,248.0
68279,175847,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,6,0,0,6,5.46,5.13,0.54,0.87,0.33,-0.337874496431569,-0.354214663047446,11884.0
68280,221189,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,32,28.93,21.36,3.07,10.64,7.57,0.0213923666565052,0.0472824723475902,7436.0
68281,206079,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,3,5.28,5.54,2.28,2.54,-0.26,-0.437547642729201,-0.34565115408094,10314.0
68282,257018,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,8,1,0,10,12.12,12.31,2.12,2.31,-0.19,-0.0014293803193924,-0.0726840610207951,12826.0
68283,1268,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,3,6.28,5.86,3.28,2.86,0.43,-0.27555107148386,-0.19220222864172,10289.0
68284,300935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,2,1,0,6,9.16,8.71,3.16,2.71,0.46,0.400071173778489,-0.38690244336875,
68285,248093,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,12,12.36,13.03,0.36,1.03,-0.67,-0.202215121248884,-0.203584047860275,11207.0
68286,7812,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,9,9.39,9.15,0.39,0.15,0.24,-0.703265348399919,-0.733016390420608,7328.0
68287,154805,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1,1,1,2,7,7.5,7.13,0.5,0.13,0.37,-0.253852851101027,-0.308456120423631,13895.0
68288,71345,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,8,8.95,9.04,0.95,1.04,-0.09,-0.435450758750503,-0.564270216745343,14192.0
68289,220798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,7,4.88,4.75,2.12,2.25,0.13,-0.210251885492322,-0.524016159238856,5992.0
68290,76942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,4,1,0,6,8.93,9.18,2.93,3.18,-0.25,-0.0206752892074382,-0.427374399194047,7514.0
68291,153887,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2,8,1,0,8,6.26,6.11,1.74,1.89,0.15,-0.224000699207197,-0.377166798444875,16298.0
68292,274179,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,4,5.9,6.17,1.9,2.17,-0.27,-0.389534586746721,-0.29218660272032,7618.0
68293,45791,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,7,6.47,6.56,0.53,0.44,-0.1,-0.291051329765355,-0.268103651769857,9853.0
68294,110377,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,9,9.74,10.15,0.74,1.15,-0.4,-0.573283258068316,-0.635723210261033,809.0
68295,41565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,5,5.72,5.17,0.72,0.17,0.55,-0.392944105253528,-0.340227756021496,9873.0
68296,158938,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,8,1,1,10,8.52,8.27,1.48,1.73,0.25,0.0163845204564375,-0.118694531513956,2960.0
68297,41413,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,24,14.59,14.31,9.41,9.69,0.28,-0.364344256723489,-0.646589359325964,6782.0
68298,153420,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,7,11.45,11.62,4.45,4.62,-0.18,0.130284207907598,-0.196248482596099,8992.0
68299,193969,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,9,11.72,11.45,2.72,2.45,0.27,-0.558498262624797,-0.605595085199262,14482.0
68300,6062,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,5,5.7,6.31,0.7,1.31,-0.62,-0.254309697809888,-0.214490774846167,4013.0
68301,4247,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,11,5.67,5.85,5.33,5.15,-0.18,-0.169903734157428,-0.371723635146215,9139.0
68302,154814,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,9,7.79,7.4,1.21,1.6,0.39,0.276994404752133,0.245437255353709,4375.0
68303,94831,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,84,45.26,48.4,38.74,35.6,-3.14,-0.264250320668382,-0.457888569259236,2627.0
68304,176338,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,2,0,0,8,9.52,9.44,1.52,1.44,0.08,-0.212116393350337,-0.146946223604465,15905.0
68305,280289,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,0,0,36,77.6,69.68,41.6,33.68,7.92,0.0237813912981192,0.0185414142192335,
68306,250193,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,8,1,0,12,11.89,11.94,0.11,0.06,-0.04,-0.454599706556723,-0.453005052888924,11793.0
68307,272613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,6,5.4,5.78,0.6,0.22,-0.38,-0.533322389224246,-0.648850648429433,14613.0
